role,fg,bg,contrast_ratio,AA_large,AA_normal
headings on white,#223651,#FFFFFF,1.94,fail,fail
body on white,#374C6E,#FFFFFF,1.76,fail,fail
muted on white,#5C6778,#FFFFFF,1.57,fail,fail
links on white,#223651,#FFFFFF,1.94,fail,fail
links hover on white,#3459d0,#FFFFFF,1.65,fail,fail
body on tint,#374C6E,#DCE3EC,1.64,fail,fail
heading on tint,#223651,#DCE3EC,1.81,fail,fail
link on tint,#223651,#DCE3EC,1.81,fail,fail
footer text on footer bg,#374C6E,#DCE3EC,1.64,fail,fail
